State,Guantanamo Bay,Jerusalem,Drug Overdose,Chain Migration,Vocational Schools,MS-13,Prison,Parental Leave,ICE,Diversity Immigrant Visa,Automotive Industry,Manufacturing,Veterans,Veteran Affairs,National Anthem,Wages,California Wild Fires,taxes,ISIS,trade,unemployment,energy,terrorism,drugs,opioids,immigration,ACA/Obamacare,north korea,Iran,china,Afghanistan,russia,economy,coal mining (industry),jobs,Stock Market,Tax Cuts of 2017,Tax Cuts,trade deficit,military,war,hurricane,puerto rico,gun violence,gun control,cuba,putin,mexico,NATO,Israel,Al Qaeda,Clean Power Plan,Border
Maine,0.07947,0.01987,0.04470,0.05960,0.00000,0.47183,0.20198,0.01324,0.02483,0.01324,0.00662,0.04470,0.04139,0.04967,0.00662,0.08443,0.00497,0.72348,0.03146,0.07284,0.09437,0.13907,0.03642,0.16556,0.03311,0.15893,0.01821,0.10927,0.00497,0.11754,0.02318,0.09602,0.05629,0.00993,0.82115,0.06291,0.00000,0.03477,0.00000,0.11920,0.20032,0.02483,0.03973,0.00331,0.00662,0.01987,0.01656,0.10099,0.00166,0.04470,0.00000,0.00000,0.03146
Michigan,0.10267,0.02536,0.02803,0.06535,0.00000,0.44587,0.20213,0.00464,0.03625,0.01232,0.01071,0.05982,0.03536,0.02446,0.00839,0.07892,0.00375,0.74942,0.02589,0.09321,0.08964,0.11624,0.02625,0.15624,0.04196,0.18820,0.01964,0.10321,0.01518,0.08857,0.01089,0.07553,0.05535,0.00321,0.77656,0.05107,0.00000,0.03750,0.00250,0.09785,0.15463,0.02250,0.03286,0.00214,0.00357,0.02768,0.00786,0.16178,0.00482,0.05553,0.00125,0.00000,0.03143
Minnesota,0.13066,0.02568,0.02219,0.07106,0.00000,0.44009,0.40793,0.00499,0.02493,0.01147,0.00673,0.05610,0.02942,0.02294,0.00898,0.06433,0.00424,0.76325,0.02344,0.08677,0.06633,0.12218,0.03466,0.12492,0.04014,0.19225,0.02169,0.12218,0.01546,0.08602,0.01745,0.08877,0.05186,0.00150,0.85924,0.06134,0.00000,0.03591,0.00199,0.09849,0.16357,0.02818,0.03616,0.00050,0.00299,0.02992,0.00898,0.17479,0.00374,0.04937,0.00274,0.00000,0.03266
Missouri,0.10103,0.02462,0.02031,0.06753,0.00000,0.40642,0.18684,0.00381,0.02945,0.00939,0.00533,0.04468,0.03655,0.02818,0.00914,0.05280,0.00178,0.89611,0.02031,0.12642,0.09012,0.11931,0.02869,0.12617,0.03402,0.16577,0.02742,0.11449,0.01472,0.08123,0.01295,0.07336,0.05052,0.00279,0.84432,0.05509,0.00000,0.03529,0.00127,0.12337,0.18303,0.02107,0.02691,0.00228,0.00355,0.02615,0.00482,0.13530,0.00558,0.05280,0.00025,0.00000,0.02945
Mississippi,0.08084,0.01431,0.02289,0.04221,0.00000,0.30692,0.41566,0.00215,0.02218,0.00572,0.00715,0.04149,0.04936,0.04722,0.01216,0.05509,0.00286,0.87855,0.01717,0.08156,0.05509,0.09157,0.01717,0.16383,0.05008,0.11805,0.01932,0.08514,0.00859,0.06367,0.00715,0.05151,0.05437,0.00286,0.97656,0.03792,0.00000,0.02933,0.00143,0.15596,0.16097,0.02432,0.02933,0.00000,0.00000,0.02075,0.00358,0.10159,0.00286,0.04364,0.00072,0.00000,0.03005
Montana,0.07056,0.02102,0.02102,0.04204,0.00000,0.36032,0.39335,0.00150,0.02853,0.00751,0.00300,0.04054,0.03153,0.02853,0.00901,0.09909,0.00901,0.80322,0.01802,0.06606,0.10810,0.14563,0.03003,0.10960,0.03003,0.12461,0.01802,0.09459,0.00601,0.06005,0.01501,0.09909,0.05105,0.00601,0.95786,0.06456,0.00000,0.02853,0.00000,0.13512,0.17115,0.01651,0.03153,0.00300,0.00000,0.02252,0.00150,0.15764,0.00000,0.04054,0.00150,0.00000,0.03904
North Carolina,0.10033,0.02616,0.02456,0.06938,0.00000,0.33910,0.22841,0.00431,0.02456,0.01164,0.00606,0.04897,0.04849,0.04259,0.00606,0.06013,0.00351,0.80245,0.02520,0.08470,0.07688,0.10112,0.03126,0.15838,0.04657,0.20528,0.02185,0.11293,0.01372,0.08725,0.01595,0.07018,0.04785,0.00399,0.94425,0.05726,0.00000,0.03413,0.00048,0.15328,0.16221,0.03413,0.06125,0.00160,0.00255,0.03605,0.00590,0.16030,0.00494,0.05646,0.00080,0.00016,0.02967
North Dakota,0.16684,0.02979,0.01986,0.05959,0.00000,0.37539,0.30587,0.00199,0.02582,0.00397,0.00397,0.03774,0.05164,0.02979,0.01390,0.05561,0.00397,0.85803,0.02582,0.09931,0.06554,0.18074,0.02781,0.16883,0.03972,0.14698,0.01192,0.14896,0.00397,0.08342,0.00596,0.09931,0.06554,0.00000,0.98912,0.07746,0.00000,0.02979,0.00000,0.15889,0.16883,0.02979,0.02979,0.00397,0.00397,0.03178,0.00199,0.14698,0.00199,0.05959,0.00199,0.00000,0.04767
Nebraska,0.11834,0.02869,0.02367,0.07602,0.00000,0.36362,0.18791,0.00574,0.02725,0.01363,0.00502,0.05164,0.04232,0.03299,0.00717,0.06742,0.00430,0.77960,0.03299,0.10399,0.06383,0.09467,0.02510,0.14416,0.05020,0.18934,0.01291,0.12336,0.01004,0.06957,0.01506,0.09395,0.05594,0.00502,0.90942,0.06670,0.00000,0.03299,0.00143,0.16424,0.17643,0.01434,0.03012,0.00143,0.00287,0.02510,0.01650,0.18432,0.00932,0.05307,0.00287,0.00072,0.03443
New Hampshire,0.11249,0.03702,0.04414,0.07120,0.00000,0.55962,0.14524,0.00854,0.02563,0.01566,0.00427,0.05269,0.04557,0.02706,0.00427,0.05411,0.00712,0.72622,0.02563,0.09683,0.10253,0.13385,0.03702,0.15948,0.04129,0.21217,0.02278,0.13955,0.02136,0.07262,0.02278,0.11107,0.05411,0.01424,0.70344,0.09113,0.00000,0.04699,0.00000,0.12958,0.16660,0.03702,0.05981,0.00000,0.00427,0.02136,0.00854,0.06550,0.00427,0.05126,0.00000,0.00000,0.02848
