entity,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018
P.S.,0.000,0.004,0.002,0.003,0.002,0.002,0.001,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002
Yorktown,0.000,0.006,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002
Galesburg,0.000,0.000,0.003,0.002,0.001,0.002,0.003,0.002,0.003,0.002,0.002,0.002,0.003,0.002,0.002
Military service,0.006,0.003,0.003,0.002,0.003,0.003,0.004,0.003,0.002,0.003,0.003,0.004,0.003,0.003,0.002
South Asia,0.004,0.004,0.004,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.002
Oak Creek,0.000,0.000,0.003,0.001,0.001,0.002,0.003,0.002,0.003,0.003,0.002,0.002,0.003,0.003,0.002
Freddie Mac,0.007,0.006,0.003,0.003,0.006,0.008,0.004,0.005,0.007,0.004,0.003,0.003,0.002,0.002,0.002
Hamas,0.000,0.003,0.012,0.001,0.003,0.002,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.002
Keystone,0.007,0.003,0.005,0.004,0.004,0.003,0.003,0.002,0.003,0.003,0.002,0.002,0.003,0.002,0.002
Damascus,0.005,0.003,0.002,0.002,0.003,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.002
Alexander Graham Bell,0.008,0.004,0.005,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002
Shi'a,0.004,0.007,0.004,0.007,0.003,0.002,0.003,0.004,0.002,0.003,0.001,0.005,0.004,0.002,0.002
National security,0.007,0.003,0.003,0.003,0.003,0.002,0.004,0.002,0.001,0.001,0.001,0.002,0.002,0.003,0.002
F-35,0.000,0.000,0.000,0.001,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.003,0.002,0.005,0.002
Newtown,0.000,0.004,0.002,0.003,0.003,0.002,0.002,0.003,0.002,0.003,0.003,0.002,0.003,0.002,0.002
Welfare,0.000,0.000,0.002,0.003,0.002,0.003,0.004,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002
Whistleblower,0.000,0.004,0.003,0.002,0.001,0.003,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002
California Institute of Technology,0.009,0.006,0.005,0.005,0.003,0.006,0.006,0.005,0.003,0.003,0.002,0.003,0.004,0.003,0.002
Belarus,0.000,0.003,0.002,0.004,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002
Normandy,0.005,0.004,0.003,0.003,0.002,0.002,0.004,0.001,0.002,0.002,0.002,0.002,0.001,0.002,0.002
Central Piedmont Community College,0.000,0.004,0.002,0.003,0.002,0.002,0.002,0.003,0.004,0.002,0.004,0.003,0.003,0.002,0.002
Great Plains,0.005,0.007,0.003,0.003,0.003,0.001,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.002,0.002
Bronze Star,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.000,0.001,0.000,0.000,0.002
Executive Order 13769,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.002
Campaign finance,0.005,0.003,0.004,0.002,0.003,0.002,0.009,0.002,0.002,0.001,0.002,0.001,0.002,0.001,0.002
Government spending,0.005,0.000,0.002,0.002,0.003,0.006,0.005,0.008,0.003,0.003,0.002,0.001,0.003,0.003,0.002
Federal Tax Code,0.006,0.005,0.005,0.003,0.002,0.003,0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
Military budget,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.002,0.001,0.002,0.001,0.001,0.002,0.006,0.002
Chelsea Manning,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.002,0.001,0.001,0.002,0.001,0.000,0.001,0.002
Baby Einstein Company,0.000,0.003,0.003,0.021,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.002
Freedom of religion,0.000,0.000,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002
Master Lock,0.004,0.003,0.003,0.002,0.001,0.002,0.002,0.002,0.008,0.002,0.002,0.002,0.002,0.002,0.002
Guinea,0.000,0.003,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.004,0.002,0.002,0.002
Saddam Hussein,0.019,0.011,0.010,0.020,0.007,0.004,0.004,0.004,0.003,0.002,0.002,0.003,0.002,0.002,0.002
Justin Trudeau,0.000,0.000,0.002,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.002,0.000,0.002
Elementary and Secondary Education Act,0.000,0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.002,0.002,0.002
Army Ranger,0.000,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.006,0.003,0.002,0.002,0.002
Trans-Pacific Partnership,0.000,0.003,0.000,0.001,0.000,0.002,0.001,0.001,0.000,0.001,0.004,0.002,0.009,0.003,0.002
Veterans Day,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.005,0.004,0.002,0.002,0.003,0.002,0.001,0.002
Bahrain,0.007,0.003,0.006,0.004,0.004,0.003,0.006,0.004,0.003,0.003,0.003,0.004,0.005,0.002,0.002
Laura Bush,0.009,0.008,0.005,0.005,0.003,0.001,0.001,0.003,0.001,0.000,0.001,0.001,0.001,0.001,0.002
Kurds,0.004,0.004,0.002,0.002,0.001,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.002,0.002,0.002
Humvee,0.000,0.000,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002
Commerce Department,0.007,0.006,0.002,0.006,0.003,0.006,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.003,0.002
Estate tax in the United States,0.009,0.005,0.004,0.003,0.003,0.002,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.001,0.002
Star of David,0.000,0.004,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.001,0.005,0.002,0.002,0.002,0.002
Jakarta,0.007,0.008,0.004,0.002,0.004,0.002,0.003,0.002,0.001,0.002,0.002,0.005,0.003,0.002,0.002
Marine,0.000,0.000,0.002,0.001,0.002,0.002,0.002,0.001,0.002,0.000,0.001,0.001,0.001,0.001,0.001
Palestinian,0.004,0.004,0.004,0.004,0.004,0.002,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001
Edward Snowden,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.003,0.002,0.004,0.001
Doha,0.000,0.000,0.002,0.002,0.001,0.002,0.003,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.001
Department of Energy,0.007,0.013,0.009,0.003,0.005,0.007,0.005,0.005,0.003,0.003,0.002,0.003,0.002,0.002,0.001
trade deficit,0.000,0.003,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001
Immigration Policy,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.000,0.001,0.001
Applause,0.000,0.000,0.000,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PATRIOT Act,0.056,0.008,0.029,0.005,0.007,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001
Free trade,0.004,0.004,0.002,0.002,0.002,0.002,0.002,0.003,0.001,0.002,0.001,0.001,0.001,0.002,0.001
Space exploration,0.007,0.004,0.003,0.003,0.002,0.002,0.001,0.002,0.001,0.002,0.001,0.001,0.002,0.002,0.001
Cheney,0.007,0.005,0.004,0.010,0.007,0.003,0.001,0.002,0.002,0.003,0.002,0.002,0.001,0.001,0.001
Sunni,0.000,0.007,0.003,0.007,0.001,0.002,0.001,0.003,0.002,0.002,0.001,0.003,0.003,0.002,0.001
Sikh,0.004,0.003,0.000,0.002,0.003,0.002,0.001,0.001,0.004,0.002,0.002,0.001,0.003,0.002,0.001
Syrian civil war,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.001,0.002,0.002,0.001
Baghdad,0.009,0.006,0.004,0.007,0.003,0.002,0.003,0.003,0.002,0.002,0.001,0.001,0.002,0.002,0.001
Body worn video,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001
No Child Left Behind Act,0.024,0.011,0.007,0.011,0.012,0.005,0.005,0.007,0.003,0.002,0.001,0.001,0.001,0.001,0.001
No Child Left Behind Act,0.024,0.011,0.007,0.011,0.012,0.005,0.005,0.007,0.003,0.002,0.001,0.001,0.001,0.001,0.001
World Trade Organization,0.005,0.006,0.004,0.003,0.003,0.003,0.002,0.003,0.001,0.002,0.001,0.001,0.001,0.001,0.001
John Boehner,0.000,0.000,0.002,0.001,0.000,0.002,0.008,0.000,0.031,0.000,0.000,0.000,0.008,0.002,0.001
Riyadh,0.000,0.003,0.000,0.002,0.001,0.001,0.006,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001
Eminent domain,0.000,0.004,0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001
First Lady,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.001
gun violence,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.005,0.001,0.001,0.003,0.002,0.001
Paris Agreement,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
Voting Rights Act,0.004,0.000,0.000,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
War in Afghanistan,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001
Statue of Freedom,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
Abortion-rights movement,0.004,0.004,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001
Softbank,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.001
Secretary of Health and Human Services,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
Sanctuary cities,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001
Antonin Scalia,0.000,0.000,0.000,0.002,0.000,0.002,0.001,0.002,0.001,0.002,0.001,0.001,0.002,0.007,0.001
Security Council,0.000,0.000,0.003,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Equal pay for equal work,0.000,0.000,0.002,0.000,0.001,0.002,0.001,0.001,0.001,0.002,0.003,0.002,0.001,0.001,0.001
Coretta Scott King,0.004,0.003,0.110,0.005,0.003,0.002,0.001,0.001,0.001,0.003,0.001,0.004,0.001,0.001,0.001
Mexico-United States barrier,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001
Interior Department,0.004,0.000,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Bloody Sunday,0.000,0.004,0.000,0.003,0.001,0.001,0.003,0.000,0.000,0.000,0.000,0.002,0.001,0.001,0.001
Safe spaces,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001
Alternative energy,0.000,0.004,0.010,0.003,0.004,0.004,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001
Gender identity,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.001
West Bank,0.000,0.000,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.001,0.001
Al Qaida,0.007,0.004,0.007,0.004,0.005,0.003,0.004,0.002,0.002,0.003,0.002,0.003,0.002,0.001,0.001
Superstorm Sandy,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.003,0.002,0.001,0.001,0.001
Dillon,0.000,0.000,0.000,0.000,0.000,0.003,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.001
Corey Adams,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
American Recovery and Reinvestment Act,0.000,0.000,0.000,0.000,0.000,0.168,0.013,0.005,0.002,0.001,0.001,0.001,0.001,0.001,0.001
Congressional Budget Office,0.000,0.004,0.004,0.001,0.001,0.003,0.003,0.003,0.001,0.002,0.001,0.001,0.000,0.001,0.001
Sputnik,0.000,0.000,0.000,0.002,0.001,0.001,0.001,0.011,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Tripoli,0.000,0.000,0.000,0.000,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.000,0.001,0.001
John Roberts,0.000,0.000,0.006,0.002,0.002,0.001,0.002,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Andrews Air Force Base,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Hizballah,0.005,0.000,0.000,0.002,0.001,0.001,0.001,0.002,0.001,0.000,0.000,0.001,0.001,0.000,0.001
Solitary confinement,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.001
Voter turnout,0.000,0.004,0.000,0.001,0.002,0.001,0.000,0.001,0.001,0.000,0.001,0.001,0.000,0.001,0.001
Sam Alito,0.000,0.000,0.047,0.000,0.001,0.001,0.041,0.002,0.001,0.001,0.001,0.001,0.000,0.001,0.001
Gary Allen,0.000,0.000,0.004,0.002,0.003,0.002,0.003,0.003,0.001,0.004,0.002,0.001,0.001,0.001,0.001
Asia-Pacific,0.000,0.003,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Private Prisons,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.001
Albuquerque Police Department,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
Dikembe Mutombo,0.000,0.000,0.002,0.016,0.000,0.001,0.000,0.001,0.001,0.008,0.001,0.001,0.001,0.001,0.001
Student loans in the United States,0.000,0.000,0.000,0.001,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001
Independence,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.001
Information Age,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.001
Qadhafi,0.000,0.000,0.002,0.000,0.001,0.001,0.001,0.001,0.006,0.002,0.001,0.001,0.001,0.001,0.001
Electronic Classroom of Tomorrow,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.001
Gabby Giffords,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.001,0.005,0.003,0.001,0.001
Bob Dole,0.000,0.003,0.003,0.002,0.005,0.000,0.001,0.001,0.001,0.001,0.000,0.001,0.000,0.000,0.001
Vaccine controversies,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.001
National Assembly,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001
Persian Gulf,0.000,0.000,0.000,0.002,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.003,0.001,0.001
Forsyth Tech,0.000,0.000,0.004,0.001,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Political corruption,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.000,0.001,0.001,0.001
Violence Against Women's Act,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.024,0.001,0.000,0.000,0.001,0.001
Orrin Hatch,0.000,0.003,0.000,0.000,0.000,0.003,0.001,0.001,0.000,0.001,0.000,0.001,0.001,0.000,0.001
Right to work,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.004,0.001,0.001,0.001,0.001,0.001,0.001
Dakota Access,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.001
Sandra Day O'Connor,0.000,0.000,0.002,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000
Susan Oliver,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000
Raqqa,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Scott Kelly,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.014,0.000,0.000,0.000
Defense of Marriage Act,0.006,0.000,0.002,0.000,0.001,0.000,0.000,0.001,0.001,0.002,0.001,0.001,0.001,0.000,0.000
G-20,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000
Voting age,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.000
Offshore drilling,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.000
Director of National Intelligence,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.001,0.001,0.000,0.001,0.001,0.000
Electoral fraud,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.000,0.000
Foreign Service,0.009,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.000
Virgin Islands,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
Basic income,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Economic stimulus,0.000,0.000,0.000,0.000,0.018,0.000,0.005,0.002,0.001,0.000,0.000,0.000,0.000,0.001,0.000
Islamist,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.002,0.001,0.001,0.000
John Walsh,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000
Mombasa,0.000,0.000,0.002,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000
Silver Star,0.000,0.000,0.000,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000
United Nations General Assembly,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000
2003 Invasion of Iraq,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.000,0.001,0.000,0.000,0.000
Drug policy,0.000,0.000,0.002,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000
Term limits in the United States,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000
Fallujah,0.000,0.000,0.000,0.003,0.001,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.000,0.000
PRISM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Steve Beshear,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000
Omaha Beach,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Matt Bevin,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000
Prescription costs,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
Korean Peninsula,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Daniel Patrick Moynihan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Joint Comprehensive Plan of Action (Iran Deal),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000
William ``Ryan'' Owens,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Labor Unions in the United States,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Drug testing welfare recipients,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.001,0.000,0.001,0.000,0.000,0.000,0.000
National Center for Missing and Exploited Children,0.000,0.000,0.004,0.002,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Greensburg,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
National Academy of Sciences,0.000,0.003,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.000
Higher Education Act of 1965,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Rangoon,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.001,0.000,0.000
Ramallah,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000
Flag desecration,0.004,0.003,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Oak Ridge National Laboratory,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.001,0.000,0.001,0.000,0.000,0.000
Gulf States,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Rare Disease Day,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000
Dakota Access pipeline,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000
No fly list,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Kayla Cuevas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jill Biden,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.002,0.007,0.007,0.004,0.003,0.000,0.000
Tom Coburn,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.001,0.002,0.000,0.000,0.000,0.000
Bob Gates,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.000
Tom Harkin,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000
Hadiya Pendleton,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.001,0.000,0.000,0.000,0.000
Petraeus,0.000,0.000,0.000,0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000
Agricultural subsidies,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.001,0.000,0.000,0.000
Race to the Top,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.011,0.001,0.001,0.001,0.000,0.000,0.000,0.000
Offshore bank,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.000
LGBT rights,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000
Israel boycott,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Women in combat,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
Prison overcrowding,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Khalid Sheik Mohammed,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Aung San Suu Kyi,0.000,0.003,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Joe Lieberman,0.014,0.004,0.002,0.001,0.002,0.003,0.002,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.000
Richard Cordray,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000
Paycheck Fairness Act,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000
Simpson-Bowles Commission,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.000
American Jobs Act,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LGBT adoption rights,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
John Thompson,0.000,0.003,0.002,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000
Zarqawi,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Donna Shalala,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Millennium Challenge Account,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tim Johnson,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
National Endowment for Democracy,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Vocational Schools,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jamiel Shaw,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000
Victims of Immigration Crime Engagement,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000
Carryn Owens,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000
Russian military action in Syria,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
